env,config,seed,episode,steps_in_episode,reward_env,success
Foundational,Shaped DQN,6,1,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,2,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,3,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,4,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,5,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,6,15,-11.499999999999996,False
Foundational,Shaped DQN,6,7,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,8,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,9,15,8.500000000000002,False
Foundational,Shaped DQN,6,10,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,11,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,12,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,13,15,8.5,False
Foundational,Shaped DQN,6,14,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,15,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,16,15,8.500000000000004,False
Foundational,Shaped DQN,6,17,15,8.500000000000004,False
Foundational,Shaped DQN,6,18,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,19,15,8.500000000000004,False
Foundational,Shaped DQN,6,20,15,8.500000000000004,False
Foundational,Shaped DQN,6,21,15,8.500000000000004,False
Foundational,Shaped DQN,6,22,15,8.500000000000004,False
Foundational,Shaped DQN,6,23,15,8.500000000000004,False
Foundational,Shaped DQN,6,24,15,8.500000000000004,False
Foundational,Shaped DQN,6,25,15,-11.5,False
Foundational,Shaped DQN,6,26,15,8.500000000000004,False
Foundational,Shaped DQN,6,27,15,8.500000000000004,False
Foundational,Shaped DQN,6,28,15,8.500000000000004,False
Foundational,Shaped DQN,6,29,8,19.200000000000003,True
Foundational,Shaped DQN,6,30,6,19.4,True
Foundational,Shaped DQN,6,31,15,8.500000000000004,False
Foundational,Shaped DQN,6,32,15,8.500000000000004,False
Foundational,Shaped DQN,6,33,15,8.500000000000004,False
Foundational,Shaped DQN,6,34,11,18.900000000000002,True
Foundational,Shaped DQN,6,35,11,18.9,True
Foundational,Shaped DQN,6,36,7,19.3,True
Foundational,Shaped DQN,6,37,15,-1.5000000000000002,False
Foundational,Shaped DQN,6,38,15,8.500000000000004,False
Foundational,Shaped DQN,6,39,6,19.4,True
Foundational,Shaped DQN,6,40,6,19.4,True
Foundational,Shaped DQN,6,41,8,19.200000000000003,True
Foundational,Shaped DQN,6,42,8,19.200000000000003,True
Foundational,Shaped DQN,6,43,6,19.4,True
Foundational,Shaped DQN,6,44,15,8.500000000000004,False
Foundational,Shaped DQN,6,45,6,19.4,True
Foundational,Shaped DQN,6,46,7,19.3,True
Foundational,Shaped DQN,6,47,6,19.4,True
Foundational,Shaped DQN,6,48,6,19.4,True
Foundational,Shaped DQN,6,49,7,19.3,True
Foundational,Shaped DQN,6,50,6,19.4,True
Foundational,Shaped DQN,6,51,6,19.4,True
Foundational,Shaped DQN,6,52,6,19.4,True
Foundational,Shaped DQN,6,53,6,19.4,True
Foundational,Shaped DQN,6,54,6,19.4,True
Foundational,Shaped DQN,6,55,6,19.4,True
Foundational,Shaped DQN,6,56,6,19.4,True
Foundational,Shaped DQN,6,57,6,19.4,True
Foundational,Shaped DQN,6,58,8,19.200000000000003,True
Foundational,Shaped DQN,6,59,15,8.5,False
Foundational,Shaped DQN,6,60,6,19.4,True
Foundational,Shaped DQN,6,61,6,19.4,True
Foundational,Shaped DQN,6,62,6,19.4,True
Foundational,Shaped DQN,6,63,6,19.4,True
Foundational,Shaped DQN,6,64,6,19.4,True
Foundational,Shaped DQN,6,65,6,19.4,True
Foundational,Shaped DQN,6,66,6,19.4,True
Foundational,Shaped DQN,6,67,7,19.3,True
Foundational,Shaped DQN,6,68,7,19.3,True
Foundational,Shaped DQN,6,69,6,19.4,True
Foundational,Shaped DQN,6,70,6,19.4,True
Foundational,Shaped DQN,6,71,7,19.3,True
Foundational,Shaped DQN,6,72,6,19.4,True
Foundational,Shaped DQN,6,73,7,19.3,True
