episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
1,-15.839999999999886,0.1,48.4,10,-25.125999999999934,0.3,43.260000000000005
2,-29.999999999999964,0.0,50.0,10,-24.113333333333273,0.35000000000000003,42.800000000000004
3,-22.099999999999888,0.4,41.0,10,-21.398571428571376,0.35714285714285715,42.55714285714286
4,-42.29999999999996,0.4,43.0,10,-20.33499999999995,0.3875,42.1
5,-15.389999999999969,0.6,33.9,10,-20.141111111111066,0.36666666666666664,42.52222222222222
6,-19.049999999999976,0.6,40.5,10,-19.721999999999948,0.38,42.22
7,-5.109999999999986,0.4,41.1,10,-18.34499999999995,0.44000000000000006,40.45
8,-12.889999999999977,0.6,38.9,10,-15.106999999999953,0.52,38.07000000000001
9,-18.589999999999986,0.2,45.9,10,-12.891999999999964,0.55,36.92
10,-15.949999999999898,0.5,39.5,10,-8.79499999999997,0.5599999999999999,35.95
11,-2.0699999999998986,0.7,30.7,10,-8.306999999999963,0.5900000000000001,35.07
12,2.3800000000000003,0.8,26.2,10,-7.689999999999964,0.5599999999999999,34.9
13,0.04999999999999396,0.7,29.5,10,-8.218999999999962,0.59,33.190000000000005
14,-1.330000000000005,0.5,33.3,10,-7.125999999999964,0.61,31.259999999999998
15,-10.509999999999895,0.9,25.1,10,-7.607999999999966,0.6799999999999999,29.080000000000002
16,-12.879999999999976,0.3,38.8,10,-8.681999999999965,0.71,26.82
17,-10.399999999999977,0.7,24.0,10,-9.582999999999974,0.7,26.830000000000002
18,-1.9599999999999984,0.8,19.6,10,-9.962999999999974,0.7,26.630000000000003
19,-23.41,0.9,24.1,10,-9.921999999999976,0.7,26.22
20,-26.68999999999989,0.8,16.9,10,-11.089999999999973,0.7300000000000001,25.9
21,-11.079999999999988,0.6,30.8,10,-10.688999999999982,0.71,26.889999999999997
22,-1.4200000000000081,0.8,24.2,10,-9.864999999999984,0.7300000000000001,26.65
23,0.45999999999999186,0.7,25.4,10,-9.348999999999984,0.72,27.49
24,-13.009999999999994,0.8,30.1,10,-9.977999999999984,0.6900000000000001,28.779999999999994
25,-6.499999999999979,0.7,35.0,10,-9.278999999999971,0.64,29.790000000000003
26,-4.639999999999993,0.5,36.4,10,-9.952999999999971,0.62,31.529999999999994
27,-5.239999999999986,0.6,32.4,10,-10.664999999999969,0.6399999999999999,31.65
28,-8.249999999999979,0.5,32.5,10,-11.348999999999966,0.61,32.489999999999995
29,-16.419999999999888,0.4,34.2,10,-11.695999999999966,0.6300000000000001,31.96
30,-33.42999999999988,0.6,34.3,10,-11.040999999999965,0.6199999999999999,31.409999999999997
31,-18.19999999999998,0.8,32.0,10,-10.510999999999967,0.6100000000000001,31.109999999999996
32,-8.259999999999977,0.5,32.6,10,-12.119999999999965,0.65,30.2
33,-3.010000000000009,0.9,20.1,10,-12.835999999999965,0.65,30.360000000000003
34,-6.459999999999977,0.7,24.6,10,-11.984999999999966,0.67,29.850000000000005
35,-1.1999999999999953,0.6,32.0,10,-13.941999999999974,0.7,29.419999999999998
36,-20.72999999999997,0.9,27.3,10,-10.45199999999998,0.69,29.52
37,-12.399999999999988,0.6,34.0,10,-10.590999999999973,0.67,29.910000000000004
38,0.260000000000003,0.7,27.4,10,-11.317999999999973,0.67,30.18
39,-35.989999999999974,0.7,29.9,10,-10.681999999999976,0.6699999999999999,30.82
40,1.4700000000000615,0.5,35.3,10,-11.819999999999967,0.67,31.2
41,-19.589999999999907,0.6,35.9,10,-12.53399999999996,0.69,30.340000000000003
42,-15.529999999999987,0.5,35.3,10,-11.65999999999996,0.67,30.6
43,3.3499999999999814,0.9,26.5,10,-10.213999999999963,0.6799999999999999,30.139999999999997
44,-17.839999999999897,0.7,28.4,10,-12.80199999999995,0.6599999999999999,31.02
45,-8.339999999999911,0.8,23.4,10,-10.875999999999943,0.67,30.759999999999998
46,-11.989999999999977,0.7,29.9,10,-11.001999999999947,0.6900000000000001,30.02
47,2.059999999999983,0.7,29.4,10,-9.76799999999995,0.6799999999999999,29.68
48,-25.619999999999873,0.5,36.2,10,-9.628999999999948,0.69,29.29
49,-16.729999999999894,0.8,27.3,10,-12.654999999999935,0.68,29.55
50,0.2100000000000101,0.7,27.9,10,-11.475999999999946,0.6900000000000001,29.76
51,-7.249999999999927,0.5,32.5,10,-12.575999999999933,0.66,30.759999999999998
52,-14.139999999999981,0.6,31.4,10,-12.408999999999937,0.6599999999999999,31.089999999999996
53,-26.90999999999989,0.8,29.1,10,-13.291999999999934,0.65,30.920000000000005
54,-6.0500000000000025,0.8,30.5,10,-10.81999999999994,0.6599999999999999,30.2
55,-19.339999999999797,0.5,33.4,10,-9.557999999999952,0.65,30.580000000000002
56,-10.319999999999997,0.7,33.2,10,-11.29899999999995,0.67,29.99
57,-6.769999999999996,0.6,27.7,10,-12.968999999999948,0.6799999999999999,29.689999999999998
58,-0.8999999999999175,0.6,29.0,10,-13.824999999999937,0.6900000000000001,29.25
59,-4.110000000000016,0.7,31.1,10,-11.99199999999994,0.6699999999999999,28.919999999999998
60,-17.19999999999998,0.9,22.0,10,-11.458999999999941,0.6599999999999999,28.589999999999996
61,-23.949999999999886,0.6,29.5,10,-10.004999999999958,0.6699999999999999,28.05
62,-22.699999999999896,0.7,27.0,10,-10.568999999999956,0.66,27.689999999999998
63,-8.579999999999906,0.6,25.8,10,-11.992999999999949,0.65,28.93
64,-0.7200000000000081,0.7,27.2,10,-13.471999999999946,0.63,29.72
65,-4.799999999999987,0.6,28.0,10,-14.489999999999933,0.63,29.9
66,-15.959999999999988,0.6,29.6,10,-15.223999999999924,0.58,31.24
67,-21.009999999999895,0.5,40.1,10,-15.11799999999992,0.59,31.179999999999996
