episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
1,-15.639999999999876,0.1,46.4,10,-18.803999999999938,0.36,42.04
2,-22.31999999999997,0.3,43.2,10,-18.771666666666608,0.35000000000000003,42.71666666666667
3,-12.95999999999998,0.4,39.6,10,-19.58571428571423,0.42857142857142855,41.57142857142857
4,-44.26999999999987,0.4,42.7,10,-19.36249999999995,0.45,41.125
5,1.1700000000000148,0.6,38.3,10,-18.408888888888832,0.4555555555555555,40.75555555555556
6,-18.609999999999964,0.3,46.1,10,-17.855999999999945,0.45999999999999996,40.56
7,-24.46999999999995,0.9,34.7,10,-18.702999999999957,0.52,39.03
8,-17.800000000000008,0.6,38.0,10,-21.376999999999935,0.57,37.769999999999996
9,-10.779999999999886,0.5,37.8,10,-22.994999999999926,0.6,36.95
10,-12.879999999999956,0.5,38.8,10,-20.037999999999936,0.61,36.379999999999995
11,-24.109999999999992,0.7,31.1,10,-22.99499999999992,0.62,35.95
12,-49.059999999999775,0.8,30.6,10,-22.21599999999992,0.66,34.16
13,-29.13999999999988,0.7,31.4,10,-19.557999999999925,0.63,33.58
14,-14.699999999999978,0.5,37.0,10,-18.636999999999922,0.64,32.37
15,-28.39999999999979,0.7,34.0,10,-19.162999999999933,0.6900000000000001,30.630000000000003
16,-10.81999999999998,0.7,28.2,10,-20.605999999999927,0.71,30.059999999999995
17,2.110000000000002,0.6,28.9,10,-18.420999999999925,0.73,29.21
18,-8.589999999999977,0.7,25.9,10,-15.772999999999936,0.71,29.73
19,-16.04,1.0,20.4,10,-13.453999999999947,0.71,29.540000000000003
20,-27.30999999999989,0.7,33.1,10,-13.688999999999947,0.73,28.890000000000004
21,-2.259999999999997,0.9,22.6,10,-11.149999999999968,0.75,27.5
22,-22.579999999999902,0.6,35.8,10,-9.91999999999997,0.7699999999999999,27.2
23,-5.949999999999988,0.7,29.5,10,-12.168999999999961,0.79,26.689999999999998
24,-17.049999999999965,0.7,30.5,10,-11.290999999999963,0.8099999999999999,26.910000000000004
25,-3.0099999999999887,0.9,20.1,10,-12.020999999999955,0.7699999999999999,28.21
26,1.4800000000000006,0.9,25.2,10,-8.998999999999969,0.77,27.99
27,-20.3799999999999,0.8,23.8,10,-9.21899999999997,0.73,29.190000000000005
28,0.18999999999999034,0.9,28.1,10,-8.097999999999967,0.74,27.98
29,-23.339999999999918,0.6,33.4,10,-6.491999999999971,0.74,27.919999999999998
30,2.909999999999985,0.7,30.9,10,-5.754999999999965,0.75,27.55
31,-4.460000000000008,0.5,34.6,10,-5.4499999999999655,0.74,27.5
32,-11.369999999999887,0.7,23.7,10,-6.531999999999965,0.74,27.32
33,10.109999999999975,0.7,28.9,10,-5.558999999999966,0.74,27.589999999999996
34,-9.679999999999911,0.8,26.8,10,-6.534999999999964,0.73,27.35
35,0.04000000000001158,0.8,19.6,10,-4.559999999999971,0.76,26.6
36,-9.339999999999987,0.9,23.4,10,-5.997999999999959,0.78,25.98
37,-10.64999999999991,0.8,26.5,10,-5.799999999999958,0.8099999999999999,24.999999999999996
38,-9.569999999999988,0.8,25.7,10,-4.731999999999969,0.8300000000000001,25.32
