episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
1,-15.839999999999886,0.1,48.4,10,-23.95599999999994,0.45999999999999996,39.56
2,-23.899999999999984,0.1,49.0,10,-22.79666666666661,0.48333333333333334,39.63333333333333
3,-32.27999999999996,0.3,42.8,10,-19.675714285714236,0.5428571428571428,36.75714285714286
4,-24.99999999999989,0.8,30.0,10,-17.808749999999957,0.5875,34.3375
5,-22.75999999999998,1.0,27.6,10,-17.057777777777737,0.6111111111111112,33.91111111111111
6,-16.99999999999997,0.6,40.0,10,-17.399999999999956,0.62,33.0
7,-0.949999999999989,0.9,19.5,10,-19.548999999999964,0.68,31.490000000000002
8,-4.740000000000009,0.9,17.4,10,-18.926999999999957,0.74,29.270000000000003
9,-11.049999999999988,0.8,30.5,10,-20.740999999999932,0.78,28.410000000000004
10,-20.479999999999887,0.7,24.8,10,-19.91799999999994,0.79,28.18
11,-37.32999999999999,0.7,33.3,10,-16.920999999999943,0.78,27.209999999999997
12,-17.679999999999886,0.7,26.8,10,-18.18499999999993,0.8,25.85
13,-50.4199999999997,0.7,34.2,10,-19.351999999999926,0.8,26.52
14,-16.769999999999975,0.9,27.7,10,-21.691999999999915,0.8,26.919999999999998
15,7.209999999999992,0.9,17.9,10,-20.260999999999918,0.8099999999999999,25.610000000000003
16,-29.63999999999988,0.8,26.4,10,-19.354999999999922,0.8300000000000001,24.55
17,-12.619999999999909,0.9,26.2,10,-17.45799999999992,0.8400000000000001,23.58
18,-28.1399999999999,0.9,21.4,10,-18.00199999999992,0.8600000000000001,23.02
19,3.259999999999992,0.9,17.4,10,-14.51099999999995,0.8700000000000001,22.110000000000003
20,-11.419999999999959,0.9,14.2,10,-14.280999999999944,0.8800000000000001,20.81
21,-18.359999999999978,0.8,23.6,10,-15.866999999999944,0.89,20.669999999999998
22,-23.119999999999912,0.9,21.2,10,-14.650999999999948,0.8800000000000001,20.51
23,-15.509999999999977,0.8,25.1,10,-14.581999999999946,0.8800000000000001,19.82
24,-14.46999999999991,1.0,14.7,10,-12.686999999999955,0.85,20.87
25,-8.65,1.0,16.5,10,-12.998999999999956,0.8299999999999998,21.990000000000002
26,-17.47999999999991,0.7,24.8,10,-13.450999999999947,0.8099999999999999,23.509999999999998
27,-11.929999999999907,0.9,19.3,10,-14.754999999999933,0.8099999999999999,23.55
28,-9.189999999999987,0.6,31.9,10,-14.51099999999993,0.8099999999999999,24.110000000000003
29,0.13999999999998208,0.7,28.6,10,-12.874999999999934,0.8099999999999999,24.75
30,-15.939999999999873,0.7,29.4,10,-12.460999999999938,0.8,25.610000000000003
31,-31.399999999999817,0.8,24.0,10,-11.57799999999994,0.77,26.78
32,-20.6799999999999,0.9,26.8,10,-12.470999999999945,0.75,27.709999999999997
33,0.8499999999999938,0.8,31.5,10,-13.726999999999936,0.75,28.27
34,-10.32999999999997,0.9,23.3,10,-14.452999999999923,0.78,27.53
35,0.1799999999999823,0.7,28.2,10,-14.019999999999925,0.79,27.2
36,-26.409999999999947,0.5,34.1,10,-16.311999999999916,0.8,27.119999999999997
37,-24.48999999999981,0.9,24.9,10,-15.166999999999925,0.8099999999999999,26.669999999999998
38,-16.44999999999989,0.9,24.5,10,-15.553999999999927,0.8100000000000002,26.54
39,4.469999999999991,0.8,25.3,10,-18.29399999999993,0.8099999999999999,25.939999999999998
40,-38.85999999999978,0.8,28.6,10,-16.994999999999933,0.8,25.95
41,-19.94999999999991,0.9,19.5,10,-17.91399999999993,0.8200000000000001,25.14
42,-24.549999999999958,0.9,25.5,10,-16.936999999999934,0.8400000000000001,24.369999999999997
43,-26.54999999999999,0.8,25.5,10,-14.588999999999952,0.8400000000000001,23.89
44,2.6599999999999917,0.8,23.4,10,-14.833999999999955,0.8400000000000001,24.339999999999996
45,-9.009999999999998,0.9,20.1,10,-16.970999999999954,0.8400000000000001,24.71
46,-16.63999999999998,0.7,26.4,10,-13.989999999999972,0.85,23.9
47,-1.0100000000000076,0.9,20.1,10,-12.519999999999982,0.85,24.2
48,-18.89999999999991,0.9,29.0,10,-11.189999999999984,0.85,23.9
49,-16.89999999999999,0.8,29.0,10,-9.839999999999977,0.86,23.4
50,-9.049999999999981,0.9,20.5,10,-10.186999999999978,0.86,23.87
51,-5.249999999999989,0.9,22.5,10,-13.176999999999955,0.8400000000000001,24.770000000000003
52,-11.24999999999998,0.9,22.5,10,-13.447999999999956,0.8400000000000001,25.48
53,-13.04999999999992,0.9,20.5,10,-15.489999999999949,0.8299999999999998,25.9
54,-0.8100000000000189,0.8,28.1,10,-16.326999999999945,0.8300000000000001,25.270000000000003
55,-38.90999999999978,0.7,29.1,10,-17.265999999999927,0.8400000000000001,24.660000000000004
56,-19.349999999999998,0.7,33.5,10,-17.412999999999926,0.82,25.130000000000003
57,-21.4299999999999,0.8,24.3,10,-16.589999999999925,0.82,24.9
58,-27.26999999999989,0.9,22.7,10,-16.541999999999927,0.8,25.42
59,-26.2899999999998,0.9,22.9,10,-14.214999999999941,0.8099999999999999,25.15
60,-10.519999999999978,0.7,25.2,10,-14.450999999999937,0.8099999999999999,24.509999999999998
61,2.980000000000003,0.9,20.2,10,-10.678999999999961,0.82,23.79
62,-10.769999999999989,0.7,27.7,10,-9.88099999999995,0.8300000000000001,22.81
63,10.21999999999996,1.0,17.8,10,-8.03299999999996,0.85,22.33
64,-3.169999999999999,0.8,21.7,10,-4.566999999999974,0.85,21.669999999999998
65,-1.1900000000000088,0.8,21.9,10,-3.2389999999999852,0.86,21.389999999999997
66,-11.36999999999991,0.8,23.7,10,-1.97499999999999,0.8800000000000001,20.75
67,-2.9499999999999904,1.0,19.5,10,-5.74499999999998,0.8799999999999999,21.45
68,7.389999999999961,0.9,16.1,10,-4.238999999999973,0.9100000000000001,20.39
69,-13.0099999999999,1.0,20.1,10,-6.045999999999972,0.9100000000000001,20.46
70,2.1199999999999717,0.9,18.8,10,-8.988999999999962,0.93,19.89
71,-34.71999999999989,0.9,27.2,10,-10.585999999999952,0.9400000000000001,19.86
72,4.29000000000008,1.0,17.1,10,-10.678999999999963,0.95,19.79
73,-7.85000000000003,1.0,18.5,10,-10.301999999999964,0.95,19.020000000000003
74,-32.599999999999895,1.0,16.0,10,-12.68399999999995,0.95,19.84
75,-17.15999999999992,0.9,21.6,10,-10.386999999999961,0.95,18.87
76,-12.299999999999997,0.9,23.0,10,-11.876999999999958,0.95,18.770000000000003
77,0.8199999999999902,1.0,11.8,10,-7.784999999999971,0.9500000000000002,17.85
78,-16.4299999999999,0.9,24.3,10,-7.33799999999998,0.9299999999999999,18.380000000000003
79,9.95999999999998,1.0,10.4,10,-10.071999999999974,0.9200000000000002,18.72
80,-12.779999999999998,0.9,17.8,10,-6.823999999999984,0.9099999999999999,19.240000000000002
81,6.199999999999991,0.9,18.0,10,-6.530999999999982,0.9200000000000002,19.31
82,8.75999999999998,0.8,22.4,10,-6.791999999999966,0.93,18.919999999999998
83,-35.18999999999997,0.9,21.9,10,-7.2439999999999625,0.93,19.439999999999998
84,-0.11999999999999034,0.9,21.2,10,-6.218999999999964,0.9099999999999999,20.19
85,-14.22999999999991,1.0,22.3,10,-8.324999999999962,0.9,21.25
86,-14.90999999999984,1.0,19.1,10,-7.885999999999963,0.89,21.86
87,-3.6999999999999686,1.0,17.0,10,-8.712999999999962,0.8899999999999999,22.13
88,-6.179999999999919,0.7,31.8,10,-9.91999999999996,0.9100000000000001,21.199999999999996
89,-11.100000000000003,0.9,21.0,10,-7.222999999999962,0.9,21.23
90,-8.389999999999999,0.8,23.9,10,-9.331999999999951,0.9099999999999999,20.32
91,-2.069999999999997,0.9,20.7,10,-8.628999999999962,0.9,20.29
92,-3.3100000000000094,1.0,13.1,10,-9.580999999999964,0.89,20.810000000000002
93,-8.21999999999998,0.8,22.2,10,-10.021999999999966,0.8800000000000001,21.220000000000002
94,-21.209999999999887,1.0,12.1,10,-9.363999999999976,0.9,19.64
95,-7.20000000000001,0.9,22.0,10,-8.650999999999968,0.9,19.509999999999998
96,-24.429999999999872,0.9,24.3,10,-9.174999999999967,0.9199999999999999,18.75
97,-8.11,0.9,21.1,10,-9.189999999999966,0.93,17.9
98,0.39999999999999114,0.9,16.0,10,-10.105999999999955,0.93,18.060000000000002
99,-3.969999999999908,0.9,19.7,10,-8.511999999999958,0.95,17.119999999999997
100,-13.63,1.0,16.3,10,-6.2409999999999695,0.95,17.41
101,-2.2199999999999913,1.0,12.2,10,-5.965999999999969,0.96,16.66
102,-12.46999999999991,1.0,14.7,10,-5.701999999999972,0.96,16.02
103,7.720000000000001,1.0,12.8,10,-5.380999999999976,0.97,15.809999999999999
104,1.5,1.0,15.0,10,-7.277999999999972,0.9800000000000001,15.779999999999998
105,-4.449999999999998,1.0,14.5,10,-6.521999999999982,0.9800000000000001,15.220000000000002
106,-21.789999999999914,0.9,17.9,10,-6.1729999999999805,0.9700000000000001,15.729999999999999
107,-4.90000000000003,1.0,19.0,10,-6.132999999999973,0.9700000000000001,16.330000000000002
108,-18.569999999999972,1.0,15.7,10,-7.186999999999962,0.96,16.869999999999997
109,3.58999999999999,0.9,14.1,10,-8.508999999999961,0.95,17.09
110,-10.139999999999981,0.9,21.4,10,-9.717999999999952,0.95,17.18
111,-1.8199999999999217,1.0,18.2,10,-10.80799999999994,0.9200000000000002,18.080000000000002
112,-23.009999999999796,0.9,20.1,10,-12.073999999999936,0.9199999999999999,18.740000000000002
113,-5.499999999999988,0.9,15.0,10,-12.378999999999921,0.9199999999999999,18.79
114,-10.589999999999907,1.0,15.9,10,-11.911999999999914,0.9099999999999999,19.12
115,-15.349999999999877,0.7,23.5,10,-14.011999999999905,0.9099999999999999,20.119999999999997
116,-34.44999999999986,0.9,24.5,10,-13.831999999999898,0.9,20.32
117,-7.949999999999901,1.0,19.5,10,-12.703999999999905,0.89,20.04
118,-13.8999999999999,0.9,19.0,10,-10.534999999999924,0.9000000000000001,19.35
119,-17.4099999999999,0.9,24.1,10,-11.275999999999915,0.9100000000000001,19.759999999999998
120,-8.33999999999991,0.8,23.4,10,-9.623999999999928,0.9,20.240000000000002
121,9.46,0.9,15.4,10,-7.030999999999942,0.9299999999999999,19.31
122,-1.31999999999999,1.0,13.2,10,-4.105999999999947,0.9400000000000001,18.06
123,-12.9099999999999,1.0,19.1,10,-2.727999999999958,0.9399999999999998,17.279999999999998
124,5.929999999999961,0.9,20.7,10,-1.665999999999967,0.95,16.66
125,10.57999999999999,1.0,14.2,10,-0.06199999999997785,0.96,15.62
126,-5.199999999999911,1.0,12.0,10,0.3300000000000141,0.9799999999999999,14.7
127,5.829999999999981,1.0,11.7,10,-0.336999999999987,0.9899999999999999,14.37
128,-3.2799999999999896,1.0,12.8,10,-1.3559999999999799,0.9899999999999999,14.559999999999999
129,-1.3700000000000103,1.0,13.7,10,-0.6189999999999818,0.9899999999999999,14.190000000000001
130,-4.419999999999989,1.0,14.2,10,-1.1419999999999777,1.0,13.419999999999998
131,2.78999999999999,1.0,12.1,10,-2.723999999999976,1.0,14.24
132,-11.50999999999992,1.0,15.1,10,-1.6979999999999873,0.99,14.98
133,-5.539999999999918,1.0,15.4,10,-4.619999999999974,0.99,15.2
134,0.7,1.0,13.0,10,-4.643999999999975,0.99,15.440000000000001
135,-5.239999999999997,1.0,22.4,10,-4.473999999999972,0.9800000000000001,15.74
136,5.059999999999981,0.9,19.4,10,-5.573999999999961,0.9800000000000001,15.739999999999998
137,-23.389999999999894,1.0,13.9,10,-6.3259999999999605,0.9800000000000001,16.259999999999998
138,-3.5199999999999987,1.0,15.2,10,-5.970999999999962,0.9700000000000001,16.71
139,0.3300000000000316,0.9,16.7,10,-4.967999999999971,0.9700000000000001,16.68
140,-15.419999999999892,1.0,14.2,10,-4.966999999999972,0.9600000000000002,17.669999999999998
141,-4.730000000000002,1.0,17.3,10,-4.373999999999971,0.9600000000000002,16.74
142,-7.959999999999927,0.9,19.6,10,-5.580999999999967,0.9700000000000001,16.810000000000002
143,4.48999999999999,1.0,15.1,10,-4.42599999999997,0.9700000000000001,17.26
144,0.7099999999999909,0.9,22.9,10,-5.477999999999959,0.95,17.779999999999998
