episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
1,-1.5,0.0,15.0,10,-1.699999999999998,0.0,15.0
2,-1.5,0.0,15.0,10,-2.3333333333333317,0.0,15.0
3,-1.5,0.0,15.0,10,-2.2142857142857126,0.0,15.0
4,-1.5,0.0,15.0,10,-2.4999999999999987,0.0,15.0
5,-2.4999999999999902,0.0,15.0,10,-2.277777777777777,0.0,15.0
6,-5.5,0.0,15.0,10,-2.299999999999999,0.0,15.0
7,-1.5,0.0,15.0,10,-2.199999999999999,0.0,15.0
8,-4.5,0.0,15.0,10,-2.199999999999999,0.0,15.0
9,-0.5,0.0,15.0,10,-2.0999999999999988,0.0,15.0
10,-2.5,0.0,15.0,10,-1.999999999999999,0.0,15.0
11,-0.5,0.0,15.0,10,-1.6,0.0,15.0
12,-1.5,0.0,15.0,10,-1.0,0.0,15.0
13,-0.5,0.0,15.0,10,-0.8,0.0,15.0
14,-0.5,0.0,15.0,10,-0.2,0.0,15.0
15,1.5,0.0,15.0,10,0.0,0.0,15.0
16,0.5,0.0,15.0,10,0.4,0.0,15.0
17,0.5,0.0,15.0,10,0.7,0.0,15.0
18,1.5,0.0,15.0,10,1.1,0.0,15.0
19,1.5,0.0,15.0,10,1.6,0.0,15.0
20,1.5,0.0,15.0,10,2.0,0.0,15.0
21,2.5,0.0,15.0,10,2.1,0.0,15.0
22,2.500000000000001,0.0,15.0,10,2.4,0.0,15.0
23,4.5,0.0,15.0,10,2.600000000000001,0.0,15.0
24,3.5,0.0,15.0,10,2.5000000000000013,0.0,15.0
25,2.500000000000001,0.0,15.0,10,2.8000000000000016,0.0,15.0
26,3.5,0.0,15.0,10,3.0000000000000013,0.0,15.0
27,2.5000000000000098,0.0,15.0,10,2.9000000000000012,0.01,15.0
28,0.5000000000000011,0.0,15.0,10,3.1000000000000014,0.02,15.0
29,4.5,0.0,15.0,10,2.900000000000002,0.02,15.0
30,3.5,0.0,15.0,10,2.800000000000002,0.02,15.0
31,1.5,0.1,15.0,10,3.000000000000002,0.02,15.0
32,4.5,0.1,15.0,10,3.1000000000000023,0.02,15.0
33,2.5000000000000098,0.0,15.0,10,3.3000000000000016,0.02,15.0
34,2.5,0.0,15.0,10,3.8000000000000016,0.02,15.0
35,4.5,0.0,15.0,10,4.000000000000002,0.02,15.0
36,4.5,0.0,15.0,10,4.200000000000001,0.02,15.0
37,4.5,0.0,15.0,10,4.400000000000002,0.01,15.0
38,5.5,0.0,15.0,10,4.400000000000004,0.0,15.0
39,6.5,0.0,15.0,10,4.8000000000000025,0.0,15.0
40,5.5,0.0,15.0,10,5.3000000000000025,0.0,15.0
41,3.500000000000012,0.0,15.0,10,5.600000000000002,0.0,15.0
42,4.50000000000001,0.0,15.0,10,5.8000000000000025,0.0,15.0
43,6.5,0.0,15.0,10,6.100000000000002,0.0,15.0
44,7.5,0.0,15.0,10,6.402000000000003,0.02,14.98
45,7.5,0.0,15.0,10,6.511000000000001,0.04,14.89
46,6.5,0.0,15.0,10,6.822000000000003,0.06000000000000001,14.780000000000001
47,7.5,0.0,15.0,10,7.122,0.06000000000000001,14.780000000000001
48,8.52,0.2,14.8,10,7.529000000000001,0.07,14.709999999999999
49,7.590000000000002,0.2,14.1,10,7.844000000000001,0.09,14.559999999999999
50,8.61,0.2,13.9,10,8.059000000000001,0.11000000000000001,14.41
51,6.5,0.0,15.0,10,8.168000000000001,0.12000000000000002,14.319999999999999
52,8.57,0.1,14.3,10,8.586000000000002,0.14,14.14
53,9.650000000000002,0.2,13.5,10,9.008000000000001,0.17,13.919999999999998
54,9.650000000000002,0.2,13.5,10,9.213,0.17,13.870000000000001
55,8.59,0.1,14.1,10,9.611,0.18,13.89
56,10.68,0.2,13.2,10,9.924,0.19,13.76
57,11.719999999999999,0.3,12.8,10,10.451,0.22999999999999998,13.49
58,10.57,0.2,14.3,10,10.771,0.25,13.290000000000001
59,11.57,0.3,14.3,10,10.978,0.26,13.219999999999999
60,11.74,0.3,12.6,10,11.188999999999998,0.27999999999999997,13.11
61,11.77,0.4,12.3,10,11.098,0.29,13.02
62,11.77,0.3,12.3,10,10.997,0.29000000000000004,13.030000000000001
63,11.72,0.3,12.8,10,10.892,0.29,13.080000000000002
64,11.760000000000002,0.4,12.4,10,10.91,0.3,12.9
65,7.680000000000002,0.2,13.2,10,10.929,0.3,12.71
66,9.670000000000002,0.2,13.3,10,10.828000000000001,0.3,12.72
67,10.670000000000002,0.3,13.3,10,10.619000000000002,0.28,12.809999999999999
68,10.75,0.3,12.5,10,10.507000000000001,0.26999999999999996,12.930000000000001
69,11.76,0.3,12.4,10,10.409,0.27,12.91
70,10.73,0.3,12.7,10,10.309000000000001,0.26,12.91
71,9.680000000000001,0.2,13.2,10,10.715,0.27,12.85
72,10.65,0.2,13.5,10,10.622000000000002,0.27999999999999997,12.78
73,10.74,0.3,12.6,10,10.732000000000001,0.27999999999999997,12.680000000000001
74,10.760000000000002,0.3,12.4,10,10.829,0.28,12.71
75,11.74,0.3,12.6,10,10.729000000000001,0.27999999999999997,12.709999999999999
76,8.740000000000004,0.3,12.6,10,10.939,0.29,12.61
77,11.77,0.3,12.3,10,11.147000000000002,0.30999999999999994,12.530000000000001
78,11.72,0.3,12.8,10,11.256,0.32,12.440000000000001
79,10.76,0.3,12.4,10,11.357000000000001,0.31999999999999995,12.43
80,12.830000000000002,0.4,11.7,10,11.559000000000001,0.33999999999999997,12.41
81,11.760000000000002,0.4,12.4,10,11.774000000000001,0.36,12.26
82,11.74,0.3,12.6,10,12.182,0.37,12.180000000000001
83,11.75,0.3,12.5,10,12.295,0.39,12.05
84,12.78,0.5,12.2,10,12.507000000000001,0.41,11.93
85,13.89,0.5,11.1,10,12.815999999999999,0.43,11.84
86,12.819999999999999,0.4,11.8,10,12.924000000000001,0.44000000000000006,11.76
87,12.9,0.5,11.0,10,13.032,0.43999999999999995,11.68
88,13.84,0.5,11.6,10,13.15,0.45999999999999996,11.5
89,13.85,0.5,11.5,10,13.367,0.48,11.33
90,13.91,0.5,10.9,10,13.479,0.48,11.209999999999999
91,12.84,0.4,11.6,10,13.483,0.48,11.17
92,12.920000000000002,0.5,10.8,10,13.697999999999999,0.5,11.02
93,13.919999999999998,0.5,10.8,10,13.906,0.51,10.94
94,13.9,0.5,11.0,10,14.011000000000001,0.5199999999999999,10.89
95,13.930000000000001,0.5,10.7,10,14.012,0.5199999999999999,10.879999999999999
96,14.969999999999999,0.6,10.3,10,14.121,0.53,10.790000000000001
97,14.98,0.6,10.2,10,14.437000000000001,0.56,10.629999999999999
98,14.89,0.6,11.1,10,14.646,0.5700000000000001,10.540000000000001
99,13.86,0.5,11.4,10,14.75,0.58,10.5
100,15.0,0.6,10.0,10,14.856,0.5900000000000001,10.440000000000001
101,16.0,0.7,10.0,10,14.953999999999999,0.6,10.46
102,15.01,0.6,9.9,10,14.85,0.6,10.5
103,14.959999999999999,0.6,10.4,10,14.852999999999998,0.6,10.47
104,14.959999999999999,0.6,10.4,10,14.863999999999999,0.6100000000000001,10.36
105,14.91,0.6,10.9,10,15.084999999999999,0.6299999999999999,10.15
106,13.930000000000001,0.6,10.7,10,15.094999999999999,0.6399999999999999,10.05
107,15.01,0.6,9.9,10,14.879,0.6199999999999999,10.21
108,15.0,0.7,10.0,10,14.972,0.63,10.28
109,16.07,0.7,9.3,10,14.973999999999998,0.63,10.260000000000002
110,15.1,0.7,9.0,10,15.084,0.6399999999999999,10.16
111,13.84,0.5,11.6,10,15.199000000000002,0.65,10.01
112,15.940000000000001,0.7,10.6,10,15.309000000000001,0.6599999999999999,9.91
113,14.98,0.6,10.2,10,15.416,0.6699999999999999,9.84
114,16.06,0.7,9.4,10,15.417000000000002,0.6599999999999999,9.83
115,16.06,0.7,9.4,10,15.625,0.6799999999999999,9.75
116,15.030000000000001,0.7,9.7,10,15.724,0.6799999999999999,9.76
117,16.080000000000002,0.7,9.2,10,15.945999999999998,0.7,9.54
118,15.01,0.6,9.9,10,16.066,0.71,9.34
119,18.15,0.9,8.5,10,16.076,0.73,9.239999999999998
120,16.09,0.7,9.1,10,16.076,0.73,9.24
121,16.06,0.7,9.4,10,16.072,0.73,9.28
122,17.14,0.8,8.6,10,16.282,0.74,9.18
123,15.080000000000002,0.8,9.2,10,16.281,0.74,9.19
124,16.06,0.7,9.4,10,16.281,0.74,9.190000000000001
125,16.02,0.7,9.8,10,16.175,0.73,9.25
126,17.130000000000003,0.8,8.7,10,16.069,0.73,9.31
127,16.07,0.7,9.3,10,16.177999999999997,0.74,9.22
128,15.01,0.6,9.9,10,16.179,0.74,9.209999999999999
129,17.09,0.8,9.1,10,16.386,0.74,9.14
130,15.030000000000001,0.7,9.7,10,16.492,0.75,9.08
131,17.15,0.8,8.5,10,16.606,0.76,8.940000000000001
132,17.15,0.8,8.5,10,16.6,0.76,9.0
133,17.15,0.8,8.5,10,16.705999999999996,0.77,8.940000000000001
134,17.119999999999997,0.8,8.8,10,16.916999999999998,0.79,8.83
135,17.16,0.8,8.4,10,16.919999999999998,0.79,8.8
136,17.07,0.8,9.3,10,17.031,0.8,8.690000000000001
137,17.13,0.8,8.7,10,17.032999999999998,0.8,8.67
138,17.119999999999997,0.8,8.8,10,16.822,0.79,8.78
139,17.119999999999997,0.8,8.8,10,16.925,0.8,8.75
140,16.14,0.8,8.6,10,16.932,0.8,8.68
141,17.169999999999998,0.8,8.3,10,16.933,0.8,8.67
142,15.040000000000001,0.7,9.6,10,17.052,0.8099999999999999,8.48
143,18.18,0.9,8.2,10,17.166,0.82,8.34
144,17.19,0.8,8.1,10,17.278,0.8300000000000001,8.22
145,17.169999999999998,0.8,8.3,10,17.284,0.8300000000000001,8.16
146,18.259999999999998,0.9,7.4,10,17.386000000000003,0.8300000000000001,8.139999999999999
147,18.27,0.9,7.3,10,17.284,0.8300000000000001,8.16
148,18.240000000000002,0.9,7.6,10,17.494999999999997,0.8400000000000001,8.05
149,17.18,0.8,8.2,10,17.387999999999998,0.8300000000000001,8.120000000000001
150,17.16,0.8,8.4,10,17.494999999999997,0.8400000000000001,8.05
