episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
1,-1.5,0.0,15.0,10,-3.89999999999998,0.0,15.0
2,-1.5,0.0,15.0,10,-3.4999999999999836,0.0,15.0
3,-0.5,0.0,15.0,10,-3.6428571428571246,0.0,15.0
4,-11.4999999999999,0.0,15.0,10,-3.7499999999999813,0.0,15.0
5,-4.5,0.0,15.0,10,-3.4999999999999822,0.0,15.0
6,-1.5,0.0,15.0,10,-3.299999999999983,0.0,15.0
7,-4.49999999999997,0.0,15.0,10,-3.499999999999983,0.0,15.0
8,-4.4999999999999805,0.0,15.0,10,-3.7999999999999816,0.0,15.0
9,-1.49999999999999,0.0,15.0,10,-3.89999999999998,0.0,15.0
10,-1.49999999999999,0.0,15.0,10,-2.89999999999999,0.0,15.0
11,-3.5,0.0,15.0,10,-2.09999999999999,0.0,15.0
12,-4.4999999999999805,0.0,15.0,10,-1.79999999999999,0.0,15.0
13,-1.49999999999999,0.0,15.0,10,-1.399999999999992,0.0,15.0
14,-1.5,0.0,15.0,10,-0.7999999999999939,0.0,15.0
15,3.5,0.0,15.0,10,-0.19999999999999493,0.0,15.0
16,1.5,0.0,15.0,10,0.30000000000000404,0.0,15.0
17,-0.4999999999999881,0.0,15.0,10,1.3040000000000043,0.01,14.959999999999999
18,1.5,0.0,15.0,10,2.105000000000002,0.02,14.95
19,4.5,0.0,15.0,10,2.6050000000000026,0.02,14.95
20,3.5,0.0,15.0,10,3.507000000000003,0.030000000000000006,14.930000000000001
21,6.540000000000001,0.1,14.6,10,3.807000000000003,0.030000000000000006,14.930000000000001
22,3.5100000000000025,0.1,14.9,10,4.2070000000000025,0.030000000000000006,14.930000000000001
23,3.5000000000000115,0.0,15.0,10,4.913000000000002,0.04,14.87
24,7.5200000000000005,0.1,14.8,10,5.3210000000000015,0.05,14.790000000000001
25,6.5,0.0,15.0,10,5.530000000000002,0.06000000000000001,14.7
26,5.500000000000002,0.0,15.0,10,5.9380000000000015,0.07,14.62
27,6.56,0.1,14.4,10,5.934000000000002,0.06000000000000001,14.66
28,5.580000000000001,0.1,14.2,10,6.442000000000002,0.06,14.580000000000002
29,6.590000000000001,0.1,14.1,10,6.751,0.07,14.49
30,7.58,0.1,14.2,10,6.758000000000001,0.06999999999999999,14.419999999999998
31,6.500000000000003,0.0,15.0,10,7.067,0.08,14.329999999999998
32,8.59,0.1,14.1,10,7.376,0.09,14.239999999999998
33,6.590000000000001,0.1,14.1,10,7.679,0.09,14.209999999999999
34,7.590000000000001,0.1,14.1,10,7.978,0.09000000000000001,14.219999999999999
35,9.59,0.1,14.1,10,8.175,0.09,14.25
36,8.59,0.1,14.1,10,8.375,0.09,14.25
37,9.59,0.1,14.1,10,8.483,0.1,14.169999999999998
38,8.570000000000002,0.1,14.3,10,8.588000000000001,0.11000000000000001,14.12
39,8.56,0.1,14.4,10,8.888,0.11000000000000001,14.120000000000001
40,9.58,0.1,14.2,10,8.987,0.11000000000000001,14.129999999999999
41,7.580000000000003,0.1,14.2,10,8.778000000000002,0.1,14.219999999999999
42,9.64,0.2,13.6,10,8.778,0.1,14.220000000000002
43,9.59,0.1,14.1,10,8.782,0.11000000000000001,14.180000000000001
44,8.580000000000002,0.1,14.2,10,8.992999999999999,0.12,14.069999999999999
45,7.5,0.0,15.0,10,9.102,0.13000000000000003,13.979999999999999
46,8.59,0.1,14.1,10,9.209,0.14,13.91
47,9.629999999999999,0.2,13.7,10,9.417,0.15,13.830000000000002
48,10.68,0.2,13.2,10,9.412,0.14,13.879999999999999
49,9.650000000000002,0.2,13.5,10,9.418,0.15000000000000002,13.819999999999999
50,10.65,0.2,13.5,10,9.426,0.16,13.74
51,9.66,0.2,13.4,10,9.744,0.18,13.559999999999999
52,9.59,0.1,14.1,10,9.842,0.18,13.580000000000002
53,9.650000000000002,0.2,13.5,10,9.945,0.18,13.55
54,8.66,0.2,13.4,10,9.944,0.18000000000000002,13.559999999999999
55,10.68,0.2,13.2,10,10.047,0.18,13.530000000000001
56,9.57,0.1,14.3,10,9.943999999999999,0.18,13.559999999999999
57,10.66,0.2,13.4,10,9.946000000000002,0.18,13.540000000000001
58,10.67,0.2,13.3,10,10.155,0.2,13.45
59,10.68,0.2,13.2,10,9.458000000000002,0.2,13.419999999999998
60,9.620000000000001,0.2,13.8,10,9.767999999999999,0.21000000000000002,13.320000000000002
61,9.680000000000001,0.2,13.2,10,9.772,0.22000000000000003,13.280000000000001
62,11.68,0.3,13.2,10,9.995999999999999,0.25,13.040000000000001
63,2.6799999999999997,0.2,13.2,10,9.807,0.25999999999999995,12.930000000000001
64,11.76,0.3,12.4,10,9.706,0.26,12.940000000000001
65,10.720000000000002,0.3,12.8,10,9.814000000000002,0.27,12.86
66,11.81,0.4,11.9,10,9.919,0.26999999999999996,12.809999999999999
67,8.770000000000003,0.3,12.3,10,9.917,0.27,12.830000000000002
68,9.66,0.2,13.4,10,9.928,0.28,12.72
69,11.76,0.3,12.4,10,10.845,0.3,12.55
70,10.67,0.2,13.3,10,10.954,0.31000000000000005,12.46
71,9.66,0.2,13.4,10,11.061,0.32,12.39
72,11.790000000000001,0.4,12.1,10,11.054,0.31,12.459999999999999
73,11.85,0.4,11.5,10,11.453,0.31999999999999995,12.47
74,12.85,0.4,11.5,10,11.662,0.33,12.379999999999999
75,11.790000000000001,0.4,12.1,10,11.767,0.33999999999999997,12.330000000000002
76,11.74,0.3,12.6,10,12.086,0.37,12.139999999999999
77,12.76,0.4,12.4,10,12.404,0.39,11.96
78,11.75,0.3,12.5,10,12.619000000000002,0.4,11.809999999999999
79,12.809999999999999,0.4,11.9,10,12.816999999999998,0.41000000000000003,11.83
80,13.86,0.5,11.4,10,12.924000000000001,0.42000000000000004,11.76
81,12.84,0.4,11.6,10,12.919,0.41,11.809999999999999
82,13.940000000000001,0.5,10.6,10,13.137,0.43,11.63
83,13.830000000000002,0.5,11.7,10,13.254,0.45,11.459999999999999
84,13.919999999999998,0.5,10.8,10,13.366,0.47000000000000003,11.34
85,11.74,0.3,12.6,10,13.474,0.48,11.26
86,13.919999999999998,0.5,10.8,10,13.591,0.49000000000000005,11.09
87,13.930000000000001,0.6,10.7,10,13.808000000000002,0.51,10.919999999999998
88,12.870000000000001,0.5,11.3,10,13.813999999999998,0.5199999999999999,10.86
89,13.89,0.5,11.1,10,13.924000000000001,0.53,10.76
90,15.029999999999998,0.6,9.7,10,14.038999999999998,0.5499999999999999,10.61
91,15.01,0.6,9.9,10,14.046999999999997,0.5599999999999999,10.530000000000001
92,14.0,0.6,10.0,10,14.143,0.57,10.569999999999999
93,14.930000000000001,0.6,10.7,10,14.041,0.5599999999999999,10.59
94,15.069999999999999,0.7,9.3,10,14.248,0.5700000000000001,10.52
95,11.82,0.4,11.8,10,14.369,0.5900000000000001,10.309999999999999
96,14.88,0.6,11.2,10,14.48,0.61,10.2
97,12.91,0.5,10.9,10,14.478,0.61,10.219999999999999
98,14.940000000000001,0.6,10.6,10,14.681000000000001,0.62,10.19
99,15.1,0.7,9.0,10,14.892999999999997,0.6399999999999999,10.07
100,16.14,0.8,8.6,10,14.891,0.6399999999999999,10.09
101,14.99,0.6,10.1,10,15.211000000000002,0.6599999999999999,9.889999999999999
