episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
1,-1.5,0.0,15.0,10,-1.699999999999998,0.0,15.0
2,-1.5,0.0,15.0,10,-1.8333333333333302,0.0,15.0
3,-1.5,0.0,15.0,10,-2.0714285714285685,0.0,15.0
4,-1.5,0.0,15.0,10,-1.7499999999999976,0.0,15.0
5,-2.4999999999999902,0.0,15.0,10,-1.3888888888888855,0.0,15.0
6,-2.4999999999999902,0.0,15.0,10,-0.8999999999999971,0.0,15.0
7,-3.5,0.0,15.0,10,-0.29999999999999705,0.0,15.0
8,0.5,0.0,15.0,10,-0.29999999999999705,0.0,15.0
9,1.50000000000001,0.0,15.0,10,0.3000000000000031,0.0,15.0
10,3.5,0.0,15.0,10,1.000000000000003,0.0,15.0
11,4.5,0.0,15.0,10,1.800000000000002,0.0,15.0
12,-1.5,0.0,15.0,10,2.4000000000000012,0.0,15.0
13,4.500000000000002,0.0,15.0,10,3.4000000000000012,0.0,15.0
14,5.5,0.0,15.0,10,3.4000000000000012,0.0,15.0
15,5.5,0.0,15.0,10,3.8,0.0,15.0
16,3.5,0.0,15.0,10,4.3,0.0,15.0
17,6.5,0.0,15.0,10,4.7,0.0,15.0
18,0.5,0.0,15.0,10,5.704,0.01,14.959999999999999
19,5.5,0.0,15.0,10,6.319000000000001,0.04,14.809999999999999
20,8.5,0.0,15.0,10,6.832000000000001,0.06,14.680000000000001
21,8.5,0.0,15.0,10,7.146000000000001,0.08,14.540000000000001
22,8.540000000000001,0.1,14.6,10,7.861,0.1,14.39
23,10.650000000000002,0.3,13.5,10,8.068999999999999,0.11000000000000001,14.309999999999999
24,10.629999999999999,0.2,13.7,10,8.976,0.12,14.24
25,8.64,0.2,13.6,10,9.39,0.15,14.1
26,10.65,0.2,13.5,10,9.099,0.16,14.01
27,8.58,0.1,14.2,10,9.213000000000001,0.18,13.87
28,9.57,0.1,14.3,10,9.537,0.21000000000000002,13.63
29,9.64,0.3,13.6,10,9.656000000000002,0.22000000000000003,13.440000000000001
30,5.59000000000001,0.1,14.1,10,9.883000000000001,0.25,13.169999999999998
31,9.64,0.2,13.6,10,10.199000000000002,0.26999999999999996,13.01
32,11.78,0.4,12.2,10,10.317000000000002,0.29000000000000004,12.830000000000002
33,11.84,0.4,11.6,10,10.651000000000002,0.32999999999999996,12.49
34,12.9,0.5,11.0,10,11.079,0.37,12.209999999999999
35,11.8,0.4,12.0,10,11.718,0.41,11.819999999999999
36,11.83,0.4,11.7,10,12.557,0.45999999999999996,11.43
37,11.919999999999998,0.5,10.8,10,12.884,0.48999999999999994,11.16
38,13.85,0.5,11.5,10,13.096,0.5,11.040000000000001
39,16.03,0.7,9.7,10,13.197999999999999,0.5,11.02
40,13.98,0.6,10.2,10,12.985,0.48,11.15
41,12.91,0.5,10.9,10,13.194999999999999,0.48999999999999994,11.05
42,13.9,0.5,11.0,10,13.405000000000001,0.5,10.95
43,12.86,0.4,11.4,10,13.607,0.5,10.93
44,10.77,0.3,12.3,10,13.505,0.49000000000000005,10.95
45,13.9,0.5,11.0,10,13.389000000000001,0.48,11.110000000000001
46,13.930000000000001,0.5,10.7,10,13.493,0.4800000000000001,11.07
47,13.940000000000001,0.5,10.6,10,13.705000000000002,0.5,10.95
48,12.830000000000002,0.4,11.7,10,13.925999999999998,0.52,10.74
49,14.87,0.6,11.3,10,14.14,0.54,10.6
50,15.02,0.6,9.8,10,14.783000000000001,0.5900000000000001,10.169999999999998
51,15.030000000000001,0.7,9.7,10,15.213,0.63,9.87
52,16.11,0.7,8.9,10,15.528,0.66,9.72
53,15.0,0.6,10.0,10,15.741,0.6799999999999999,9.59
54,17.2,0.8,8.0,10,16.163,0.72,9.37
55,18.2,0.9,8.0,10,16.279,0.73,9.209999999999999
56,17.08,0.8,9.2,10,16.386000000000003,0.74,9.14
57,16.07,0.7,9.3,10,16.394,0.74,9.059999999999999
58,17.05,0.8,9.5,10,16.294999999999998,0.74,9.05
59,16.029999999999998,0.7,9.7,10,16.613,0.77,8.87
60,16.089999999999996,0.7,9.1,10,16.503999999999998,0.76,8.959999999999999
61,15.11,0.7,8.9,10,16.404999999999998,0.75,8.95
62,15.12,0.7,8.8,10,16.514999999999997,0.76,8.85
63,18.18,0.9,8.2,10,16.834,0.79,8.66
64,16.11,0.7,8.9,10,16.848999999999997,0.7899999999999999,8.51
65,17.21,0.8,7.9,10,16.967999999999996,0.8,8.32
66,18.18,0.9,8.2,10,16.970999999999997,0.8,8.29
67,19.259999999999998,1.0,7.4,10,17.18,0.8099999999999999,8.2
68,17.2,0.8,8.0,10,17.276,0.8099999999999999,8.239999999999998
69,17.22,0.8,7.8,10,17.281,0.8099999999999999,8.190000000000001
70,16.119999999999997,0.7,8.8,10,17.499,0.8300000000000001,8.01
71,17.2,0.8,8.0,10,17.605999999999998,0.8400000000000001,7.9399999999999995
72,16.08,0.7,9.2,10,17.506999999999998,0.8300000000000001,7.93
73,18.23,0.9,7.7,10,17.298,0.8099999999999999,8.02
74,18.29,0.9,7.1,10,17.293,0.8099999999999999,8.07
75,18.279999999999998,0.9,7.2,10,17.499000000000002,0.8300000000000001,8.01
76,17.19,0.8,8.1,10,17.497,0.8300000000000001,8.030000000000001
77,17.169999999999998,0.8,8.3,10,17.589,0.8400000000000001,8.110000000000001
78,17.15,0.8,8.5,10,17.916999999999998,0.8699999999999999,7.83
79,19.28,1.0,7.2,10,18.026,0.8800000000000001,7.74
80,16.1,0.7,9.0,10,18.131,0.89,7.69
81,18.119999999999997,0.9,8.8,10,18.237000000000002,0.9,7.63
82,19.36,1.0,6.4,10,18.453,0.9199999999999999,7.470000000000001
83,19.32,1.0,6.8,10,18.552,0.93,7.4799999999999995
84,19.34,1.0,6.6,10,18.565,0.9400000000000001,7.35
85,19.34,1.0,6.6,10,18.457,0.9299999999999999,7.4300000000000015
86,19.35,1.0,6.5,10,18.563,0.9400000000000001,7.370000000000002
87,18.16,0.9,8.4,10,18.582,0.9400000000000001,7.18
88,17.28,0.9,7.2,10,18.473,0.93,7.2700000000000005
89,18.2,0.9,8.0,10,18.364,0.9199999999999999,7.359999999999999
90,17.16,0.8,8.4,10,18.05,0.9,7.5
91,18.31,0.9,6.9,10,18.055,0.9,7.45
92,18.27,0.9,7.3,10,18.053,0.9,7.470000000000001
93,18.23,0.9,7.7,10,18.168,0.9099999999999999,7.32
94,16.2,0.8,8.0,10,18.375,0.9199999999999999,7.25
95,19.389999999999997,1.0,6.1,10,18.491,0.93,7.090000000000001
96,19.330000000000002,1.0,6.7,10,18.711,0.95,6.890000000000001
97,19.31,1.0,6.9,10,18.816,0.96,6.840000000000001
98,19.35,1.0,6.5,10,18.924,0.97,6.76
99,19.36,1.0,6.4,10,19.032999999999998,0.9800000000000001,6.67
100,19.36,1.0,6.4,10,19.348000000000003,1.0,6.5200000000000005
101,19.36,1.0,6.4,10,19.346,1.0,6.540000000000001
102,19.35,1.0,6.5,10,19.348000000000003,1.0,6.5200000000000005
103,19.32,1.0,6.8,10,19.243000000000002,0.99,6.57
104,19.35,1.0,6.5,10,19.239,0.99,6.609999999999999
105,19.369999999999997,1.0,6.3,10,19.238,0.99,6.62
106,19.35,1.0,6.5,10,19.232,0.99,6.68
107,18.259999999999998,0.9,7.4,10,19.232,0.99,6.68
108,19.31,1.0,6.9,10,19.229,0.99,6.709999999999999
109,19.35,1.0,6.5,10,19.025,0.9800000000000001,6.75
110,19.3,1.0,7.0,10,19.026999999999997,0.9800000000000001,6.7299999999999995
111,19.36,1.0,6.4,10,19.029,0.9800000000000001,6.710000000000001
112,19.32,1.0,6.8,10,19.022,0.9800000000000001,6.779999999999999
113,17.28,0.9,7.2,10,19.128,0.99,6.720000000000001
114,19.369999999999997,1.0,6.3,10,19.131999999999998,0.99,6.68
115,19.389999999999997,1.0,6.1,10,19.131,0.99,6.69
