env,config,period,AvgReward,SuccessRate,AvgSteps,StdReward,CountEpisodes
Advanced,Baseline,Final,-5.357199999999968,0.8544,21.572,35.74057497634651,2500
Advanced,Baseline,Init,-11.250959999999953,0.6296,31.5896,36.18154243096148,2500
Advanced,Baseline,Mid,-7.381119999999965,0.7614,26.2112,36.54192044673595,5000
Advanced,Reward Machine,Final,10.346119999999999,0.9688,14.9788,25.014163993740038,2500
Advanced,Reward Machine,Init,0.5562400000000163,0.882,20.9576,29.81685655860472,2500
Advanced,Reward Machine,Mid,8.844080000000002,0.9672,15.2392,24.248828550897393,5000
Advanced,Shaped,Final,-1.1071999999999693,0.9652,13.832,37.733592006941095,2500
Advanced,Shaped,Init,-8.48075999999996,0.8992,19.7276,37.978003809201475,2500
Advanced,Shaped,Mid,-2.6974199999999686,0.9628,14.9542,38.68958200982286,5000
Foundational,Baseline,Final,18.069200000000002,0.888,7.708,3.5239363807013424,500
Foundational,Baseline,Init,2.424400000000001,0.016,14.956,6.329120014687716,500
Foundational,Baseline,Mid,14.004100000000001,0.543,10.759,5.995528296117828,1000
Foundational,Reward Machine,Final,18.0,0.886,7.6,3.8996223032771287,500
Foundational,Reward Machine,Init,4.104400000000005,0.06,14.556,8.634327063975219,500
Foundational,Reward Machine,Mid,14.6824,0.608,10.076,6.510042310990834,1000
Foundational,Shaped,Final,19.1312,0.988,6.688,1.7511595242463551,500
Foundational,Shaped,Init,7.709800000000001,0.22,13.302,8.26115108168279,500
Foundational,Shaped,Mid,18.3886,0.919,7.314,3.2619887508405983,1000
